=== ВСЕ КЛИНИЧЕСКИЕ РЕКОМЕНДАЦИИ ===

ID;Название;МКБ-10;Возраст;Разработчик;Дата размещения;Статус;Ссылка;Уровни рекомендаций (A1: 5, B2: 3 и т.д.);MedIQ (кол-во);Blacklist (кол-во);Маркеры (кол-во);Препараты MedIQ;Маркеры;Чёрный список
24_2;Другие сфинголипидозы (болезнь Гоше);E75.2;Дети;Союз педиатров России, Национальное общество детских гематологов, онкологов, Ассоциация медицинских генетиков;26.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/24_2;—;0;0;0;—;—;—
250_3;Ревматоидный артрит;M05, M06;Взрослые;Ассоциация ревматологов России;28.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/250_3;—;0;0;0;—;—;—
257_2;Миома матки;D25, D26, D39.0, O34.1;Взрослые, дети;Российское общество акушеров-гинекологов;25.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/257_2;—;0;0;0;—;—;—
259_2;Эндометриоз;N80;Взрослые, дети;Российское общество акушеров-гинекологов;25.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/259_2;Не определенНе определен: 1, В1: 1;0;1;1;—;акупунктура;Витамины
258_2;Синдром поликистозных яичников;E28.2;Взрослые;Российская ассоциация эндокринологов, Российское общество акушеров-гинекологов;02.07.2021;Применяется;https://cr.minzdrav.gov.ru/view-cr/258_2;Не определенНе определен: 1;1;0;0;ИФР-1;—;—
260_2;Врожденная цитомегаловирусная инфекция;P35.1;Дети;"Общественная организация ""Российская ассоциация специалистов перинатальной медицины"", Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов»";12.07.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/260_2;—;0;0;0;—;—;—
263_1;Анафилактический шок;T78.0, T78.2, T80.5, T88.6;Взрослые, дети;"Российская ассоциация аллергологов и клинических иммунологов, Общероссийская общественная организация ""Федерация анестезиологов и реаниматологов""";02.02.2021;Применяется;https://cr.minzdrav.gov.ru/view-cr/263_1;С5: 5;5;0;0;Хлоропирамин, Хлоропирамин-Бв, Хлоропирамин-Ферейн, Хлоропирамин-ЭСКОМ, Хлоропирамина гидрохлорид;—;—
261_2;Аллергический ринит;J30.1, J30.2, J30.3, J30.4;Взрослые, дети;Российская ассоциация аллергологов и клинических иммунологов, Союз педиатров России, Национальная медицинская ассоциация оториноларингологов;11.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/261_2;Не определенНе определен: 3, А1: 2, A1: 1;4;1;1;АРУ, Кожные, Пивные дрожжи, Тысячелистник;физиотерапия;Витамины
265_3;Атопический дерматит;L20;Взрослые, дети;"Российская ассоциация аллергологов и клинических иммунологов, Союз педиатров России, Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов"", Межрегиональная общественная организация ""Национальный альянс дерматовенерологов и косметологов""";26.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/265_3;Не определенНе определен: 8, C4: 2, C5: 2, A2: 1, С4: 1;11;0;0;Кожные, Нафтадерм, Нафталанская нефть рафинированная, Супрастин, Фенкарол, Хлоропирамин, Хлоропирамин-Бв, Хлоропирамин-Ферейн, Хлоропирамин-ЭСКОМ, Хлоропирамина гидрохлорид, Цинк;—;—
266_2;Солитарная (экстрамедуллярная) плазмоцитома;C90.2, C90.3;Взрослые;"Ассоциация онкологов России, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество"", Региональная общественная организация ""Общество онкогематологов""";13.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/266_2;C5: 4;1;0;0;СПА;—;—
267_2;Наследственный ангиоотёк;D84.1;Взрослые, дети;Российская ассоциация аллергологов и клинических иммунологов, Союз педиатров России, Ассоциация медицинских генетиков, Национальная Ассоциация Экспертов в области Первичных Иммунодефицитов;22.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/267_2;—;0;0;0;—;—;—
264_2;Крапивница;L50, L50.0, L50.1, L50.2, L50.3, L50.4, L50.5, L50.6, L50.8, L50.9, T78.3;Взрослые, дети;"Российская ассоциация аллергологов и клинических иммунологов, Союз педиатров России, Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";19.07.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/264_2;Не определенНе определен: 1;0;0;1;—;гомеопатические;—
27_2;Рак гортаноглотки;C12, C13;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока";13.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/27_2;—;0;0;0;—;—;—
28_3;Ожирение;E66.0, E66.1, E66.2, E66.8, E66.9;Взрослые;Российская ассоциация эндокринологов, Общество бариатрических хирургов;25.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/28_3;Не определенНе определен: 2;2;0;0;Коллаген, Омега-3;—;—
274_3;Запор;K59.0;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российская Гастроэнтерологическая Ассоциация, Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека""";22.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/274_3;C5: 4, А1: 4, С4: 1, A1: 1, С5: 1;5;0;0;Боси, Инулин, Лактитол, Лигнин, Псиллиум;—;—
281_3;Инфекция мочевых путей;N10, N11, N13.6, N15.1, N30, N30.0, N30.1, N30.9, N39.0;Дети;Союз педиатров России, Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии, Творческое объединение детских нефрологов;12.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/281_3;Не определен5: 4;4;0;0;Фурагин, Фуразидин, Фуразидин натрия, Фурасол;—;—
277_2;Язвенная болезнь;K25, K26, K27.0, K27.4, K28.0, K28.4, K31.1, K31.2, K31.6, K31.9;Взрослые;"Общероссийская общественная организация ""Российское общество хирургов"", Российская Гастроэнтерологическая Ассоциация, Ассоциация ""Эндоскопическое общество ""РЭндО"", Российское общество колоректальных хирургов, Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека""";13.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/277_2;—;0;0;0;—;—;—
273_5;Хронический панкреатит;K86.0, K86.1, K86.2, K86.3, K86.8, K90.3;Взрослые;"Общероссийская общественная организация ""Российское общество хирургов"", Российская Гастроэнтерологическая Ассоциация, Международная общественная организация ""Ассоциация хирургов-гепатологов"", Ассоциация ""Эндоскопическое общество ""РЭндО"", Межрегиональная Общественная Организация ""Научное сообщество по содействию клиническому изучению микробиома человека""";13.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/273_5;—;0;0;0;—;—;—
26_4;Юношеский артрит с системным началом;M08.2;Дети;Ассоциация детских ревматологов;30.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/26_4;С5: 4;2;0;0;Дженерик, Миндалин;—;—
283_1;Гипертрофическая кардиомиопатия;I42.1, I42.2;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество»;10.08.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/283_1;—;0;0;0;—;—;—
284_2;Катаракта старческая;H25.0, H25.1, H25.2, H25.8, H25.9;Взрослые;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";25.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/284_2;—;0;0;0;—;—;—
287_2;Сахарный диабет 1 типа у детей;E10.1, E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E10.9;Дети;Российская ассоциация эндокринологов;08.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/287_2;Не определенНе определен: 4, A2: 2, А3: 1, C5: 1, С5: 1, А2: 1;8;0;0;Ананас, Брусника, Изофан-Инсулин ЧМ, Инсулин Изофаникум ВО-С, Инсулин Изофаникум ХО-С, КАН, Кукуруза, Магния хлорида гексагидрат;—;—
288_2;Нормальная беременность;Z32, Z33, Z34, Z35, Z36;Взрослые, дети;Российское общество акушеров-гинекологов;15.02.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/288_2;С1: 4, В1: 4, А1: 2, Не определенНе определен: 2;5;2;0;120/80, Витамин Е, Омега-3, Поливитамины, Фолат 400 мкг метафолин;—;Витамины, Поливитамины
291_1;Мукополисахаридоз тип I;E76.0;Взрослые;Союз педиатров России, Ассоциация медицинских генетиков;19.02.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/291_1;—;0;0;0;—;—;—
289_2;Внутрипеченочный холестаз при беременности;O26.6;Взрослые, дети;Российское общество акушеров-гинекологов;27.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/289_2;—;0;0;0;—;—;—
286_2;Сахарный диабет 1 типа у взрослых;E10.2, E10.3, E10.4, E10.5, E10.6, E10.7, E10.8, E10.9;Взрослые;Российская ассоциация эндокринологов;12.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/286_2;C5: 5, В2: 4, Не определенНе определен: 4, B3: 1, C3: 1, В3: 1, A2: 1, B2: 1;3;0;0;Брал, Кальций, Ночной;—;—
293_1;Мукополисахаридоз тип VI;E76.2;Взрослые;Союз педиатров России, Ассоциация медицинских генетиков;18.02.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/293_1;—;0;0;0;—;—;—
294_2;Болезнь Ниманна-Пика тип С;E75.2;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;14.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/294_2;C5: 5;2;1;0;Витамин Е, Креатин;—;Витамины
292_1;Мукополисахаридоз тип II;E76.1;Взрослые;Союз педиатров России, Ассоциация медицинских генетиков;18.02.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/292_1;—;0;0;0;—;—;—
295_4;Мигрень;G43, G43.0, G43.1, G43.2, G43.3, G43.8, G43.9, G44.0, G44.1, G44.4;Взрослые;"Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", Межрегиональная общественная организация ""Российское общество по изучению головной боли""";25.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/295_4;B1: 3, А2: 1, А1: 1;1;1;1;Боси;рефлексотерапия;Метамизол
304_2;Грибковый отит;B37.8, B44.8, B49, H60.8, H62.2, H66.3;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;25.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/304_2;—;0;0;0;—;—;—
297_2;Карцинома Меркеля;C44;Взрослые;Ассоциация онкологов России, Ассоциация специалистов по проблемам меланомы, Общероссийская общественная организация «Российское общество клинической онкологии»;09.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/297_2;Не определенНе определен: 2, В3: 1;1;0;1;Защита;поддерживающая терапия;—
3_2;Рак полости носа и придаточных пазух;C30, C31;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока";24.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/3_2;—;0;0;0;—;—;—
30_4;Злокачественное новообразование бронхов и легкого;C34;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»;04.08.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/30_4;Не определенНе определен: 16, A2: 2, B2: 2, B3: 1, Не определен4: 1, C4: 1;2;0;1;Боси, Цикл;поддерживающая терапия;—
290_2;Сахарный диабет 2 типа у взрослых;E11.2, E11.3, E11.4, E11.5, E11.6, E11.7, E11.8, E11.9, R73.0, R73.9;Взрослые;Российская ассоциация эндокринологов;12.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/290_2;Не определенНе определен: 10, B2: 3, А2: 2, C5: 1, Не определен3: 1, С5: 1, С4: 1, B4: 1, B3: 1;6;1;0;Брал, ИМТ>25, Изофан-Инсулин ЧМ, Кальций, Кукуруза, Селен;—;Витамины
309_2;Острый ларингит;J04.0, J04.2;Взрослые, дети;Союз педиатров России, Национальная медицинская ассоциация оториноларингологов;01.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/309_2;C5: 4, Не определенНе определен: 3, C4: 1;5;0;2;Гидроксиметилхиноксалиндиоксид, Гомеовокс, Дихиноксид, Мирамистин, Эвкалиптовое масло;гомеопатические, гомеопатический;—
306_3;Острый тонзиллит и фарингит (Острый тонзиллофарингит);J02, J02.0, J02.8, J02.9, J03, J03.0, J03.8, J03.9;Взрослые, дети;"Союз педиатров России, Национальная медицинская ассоциация оториноларингологов, Международная общественная организация ""Евро-Азиатское общество по инфекционным болезням"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии";31.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/306_3;С5: 2;2;0;0;Листья грецкого ореха, Цветки ромашки;—;—
301_3;Депрессивный эпизод, Рекуррентное депрессивное расстройство;F32, F33;Взрослые;"Общественная организация ""Российское общество психиатров""";26.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/301_3;C1: 1, C2Не определен: 1;0;0;2;—;акупунктура, рефлексотерапия;—
314_3;Отит средний острый;H65.0, H65.1, H66.0;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;28.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/314_3;С5: 1;0;0;1;—;гомеопатические;—
313_3;Острый синусит;J01;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;28.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/313_3;Не определенНе определен: 4, С5: 3;5;2;0;Пиобактериофаг поливалентный очищенный, Фрамифрин, Фрамицетин, Фрамицетин ФТ, Циннабсин;—;Синупрет, Циннабсин
315_4;Отосклероз;H80;Взрослые, дети;Национальная медицинская ассоциация оториноларингологов;18.03.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/315_4;Не определенНе определен: 4;2;0;0;Кальций, Кальция глюконат-форте;—;—
317_1;Болезнь Помпе;E74.0;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, РОО «Общество специалистов по нервно-мышечным заболеваниям»;18.02.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/317_1;—;0;0;0;—;—;—
32_2;Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ Синдром отмены психоактивных веществ (абстинентное состояние, вызванное употреблением психоактивных веществ) (кроме алкоголя и никотина);F11.3, F12.3, F13.3, F14.3, F15.3, F16.3, F18.3, F19.3;Взрослые, дети;"Общественная организация ""Российское общество психиатров""";31.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/32_2;Не определенНе определен: 2, A8: 1;1;2;0;Глицин;—;ГАМК, Глицин
325_2;Острый аппендицит у взрослых;K35.0, K35.1, K35.9, K36, K37, K38.0, K38.1, K38.2, K38.3, K38.8, K38.9;Взрослые;"Общероссийская общественная организация ""Российское общество хирургов"", РОССИЙСКОЕ ОБЩЕСТВО ЭНДОСКОПИЧЕСКИХ ХИРУРГОВ";24.11.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/325_2;—;0;0;0;—;—;—
318_2;Болезнь Фабри;E75.2;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;19.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/318_2;—;0;0;0;—;—;—
327_3;Острая неопухолевая кишечная непроходимость;K31.5, K45, K46, K56.0, K56.1, K56.2, K56.3, K56.4, K56.5, K56.6, K56.7;Взрослые;"Общероссийская общественная организация ""Российское общество хирургов""";06.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/327_3;—;0;0;0;—;—;—
330_2;Рак трахеи;C33;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии»;11.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/330_2;—;0;0;0;—;—;—
329_2;Дифференцированный рак щитовидной железы;C73, D44.0;Взрослые;"Российская ассоциация эндокринологов, Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Ассоциации эндокринных хирургов, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока";07.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/329_2;—;0;0;0;—;—;—
34_3;Тотальный аномальный дренаж легочных вен;Q26.2;Дети;Ассоциация сердечно-сосудистых хирургов России;25.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/34_3;Не определенНе определен: 1;1;0;0;Э;—;—
331_2;Преждевременные роды;O42, O47.0, O60, O60.0, O60.1, O60.2, O60.3;Взрослые, дети;Российское общество акушеров-гинекологов;27.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/331_2;А1: 4, A1: 1;5;0;0;Будь здоров магний со вкусом лимона, Магний, Магний 500, Магний стандарт, Омега-3;—;—
332_2;Медуллярный рак щитовидной железы;C73;Взрослые, дети;"Российская ассоциация эндокринологов, Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Ассоциации эндокринных хирургов, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока";08.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/332_2;—;0;0;0;—;—;—
352_3;Острый обструктивный ларингит [круп], эпиглоттит, постинтубационный отек гортани;J05.0, J05.1, J38.4, J38.6;Взрослые, дети;Союз педиатров России, Национальная медицинская ассоциация оториноларингологов, Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии;14.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/352_3;Не определенНе определен: 1, C5: 1;1;1;0;Миндалин;—;Метамизол
346_2;Пограничные опухоли яичников;C56, D39.1;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество специалистов по профилактике и лечению опухолей репродуктивной системы»;23.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/346_2;—;0;0;0;—;—;—
35_2;Дискордантное предсердно-желудочковое соединение;Q20.5, Q20.8;Взрослые, дети;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Национальная ассоциация экспертов по санаторно-курортному лечению";07.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/35_2;C5: 1;0;0;1;—;поддерживающая терапия;—
341_1;Рак коры надпочечника (Адренокортикальный рак);C74;Взрослые, дети;Российская ассоциация эндокринологов, Ассоциация онкологов России;10.04.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/341_1;С5: 1, Не определенНе определен: 1;1;0;1;Ночной;поддерживающая терапия;—
344_2;Злокачественные новообразования влагалища;C52, D07.2;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество специалистов по профилактике и лечению опухолей репродуктивной системы»;23.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/344_2;С5: 1;0;0;1;—;акупунктура;—
354_2;Другие нарушения накопления липидов (Дефицит лизосомой кислой липазы);E75.5;Взрослые, дети;Союз педиатров России, Российская Гастроэнтерологическая Ассоциация, Ассоциация медицинских генетиков, Российское трансплантологическое общество;04.07.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/354_2;—;0;0;0;—;—;—
355_5;Рак поджелудочной железы;C25, D37.7;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество хирургов"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов""";23.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/355_5;Не определенНе определен: 6;5;1;0;GNC магний 500 мг, Витамин A люми, Магний, Магний 500, Магний стандарт;—;Витамины
358_3;Другие воспалительные полинейропатии (Хроническая воспалительная демиелинизирующая полирадикулонейропатия);G61.8, G61.9, G62.8, G62.9;Дети;"Союз педиатров России, Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", Национальная ассоциация детских реабилитологов";07.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/358_3;A1: 1, Не определенНе определен: 1, С5: 1;0;0;2;—;поддерживающая терапия, физиотерапия;—
360_3;Острый бронхиолит;B97.4, J21.0, J21.1, J21.8, J21.9;Дети;Союз педиатров России;14.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/360_3;—;0;0;0;—;—;—
369_2;Пузырчатка;L10;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";07.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/369_2;—;0;0;0;—;—;—
359_3;Бронхиальная астма;J45, J45.0, J45.1, J45.8, J45.9, J46, Z57.2, Z57.3, Z57.4, Z57.5;Взрослые, дети;Российская ассоциация аллергологов и клинических иммунологов, Союз педиатров России, Ассоциация врачей и специалистов медицины труда, Российское респираторное общество;15.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/359_3;Не определенНе определен: 3, С5: 2, А1: 1, В2: 1;4;0;2;Кожные, Маска, Окс, Омега-3;поддерживающая терапия, физиотерапия;—
374_3;Мочекаменная болезнь;E79.8, E79.9, N20, N21, N22, N23;Дети;Союз педиатров России, Ассоциация медицинских генетиков, Национальная ассоциация экспертов по санаторно-курортному лечению;23.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/374_3;С5: 9, Не определен5: 1, Не определенНе определен: 1;6;1;0;Витамин С, Кальций, Кальций цитрат крымский, Магний, Магний 500, Фосфор;—;Канефрон
375_3;Нарушения обмена галактозы (Галактоземия);E74.2;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов»;21.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/375_3;—;0;0;0;—;—;—
376_3;Нарушения обмена меди (болезнь Вильсона);E83.0;Взрослые, дети;"Союз педиатров России, Некоммерческое Партнерство ""Национальное общество по изучению болезни Паркинсона и расстройств движений"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Ассоциация медицинских генетиков, Российское трансплантологическое общество";21.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/376_3;С5: 9, C5: 2, Не определенНе определен: 2, В2: 2;5;0;0;Медь, Медь хелат, Хелат меди, Хелат цинка, Цинк;—;—
377_2;Бронхолегочная дисплазия;P27.1;Дети;Союз педиатров России, Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов», Национальная ассоциация детских реабилитологов, Ассоциация Здоровье детей, Ассоциация специалистов в области перинатальной медицины, оказания помощи беременной женщине и плоду, новорожденному и ребенку в возрасте до 3-х лет (АСПМ ), Российская ассоциация специалистов перинатальной медицины (РАСПМ);05.06.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/377_2;А1: 1, С4: 1;2;0;0;Альвеофакт, Кальций;—;—
379_4;Рак молочной железы;C50, D05;Взрослые;Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Российское общество онкомаммологов»;28.01.2021;Применяется;https://cr.minzdrav.gov.ru/view-cr/379_4;Не определенНе определен: 1;0;0;1;—;поддерживающая терапия;—
380_2;Мукополисахаридоз тип I;E76.0;Дети;Союз педиатров России, Ассоциация медицинских генетиков;08.07.2021;Применяется;https://cr.minzdrav.gov.ru/view-cr/380_2;—;0;0;0;—;—;—
372_2;Кистозный фиброз (муковисцидоз);E84;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Российское респираторное общество, Российское трансплантологическое общество , Ассоциация детских врачей Московской области;03.09.2021;Применяется;https://cr.minzdrav.gov.ru/view-cr/372_2;C5: 17, Не определенНе определен: 9, CНе определен: 1;8;2;0;N-ацетилцистеин, Агар, Бета-каротин 6000 МЕ, Витамин K100, Витамин Е, Ночной, Омега-3, Цинк;—;Витамины, Муколитики
381_3;Бронхит;J20, J40, J41, J42;Дети;Союз педиатров России, Российское респираторное общество, Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии, Общероссийская общественная организация Педиатрическое респираторное общество;19.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/381_3;С5: 1;1;0;0;Миндалин;—;—
385_3;Болезнь «кленового сиропа»;E71.0;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков, Российское трансплантологическое общество , Общероссийская общественная организация содействия развитию неонатологии «Российское общество неонатологов»;20.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/385_3;C5: 3, С5: 3, Не определенНе определен: 3;6;0;0;BCAA, L-Карнитин, Кальций, Карнитин, Карнитина хлорид, Лейцин;—;—
388_3;Язвенная болезнь желудка и/или двенадцатиперстной кишки;K25, K26;Дети;"Союз педиатров России, Общероссийская общественная организация ""Российская ассоциация детских хирургов"", Автономная некоммерческая организация ""Общество детских гастроэнтерологов, гепатологов и нутрициологов"", Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии";30.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/388_3;С5: 4, Не определенНе определен: 2;2;0;0;Нифурател, Нифурател-СЗ;—;—
382_1;Фибрилляция и трепетание предсердий у взрослых;I48.0, I48.1, I48.2, I48.3, I48.4, I48.9;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и электростимуляции;12.11.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/382_1;Не определенНе определен: 5, IIaC, IIbC2: 1;5;1;0;Аллапинин, Зверобоя трава, Лаппаконитин, Лаппаконитина гидробромид, Оксин;—;Аллапинин
387_3;Другие виды нарушения обмена аминокислот с разветвленной цепью (Метилмалоновая ацидемия /ацидурия);E71.1;Взрослые, дети;Союз педиатров России, Ассоциация медицинских генетиков;12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/387_3;С5: 16, Не определенНе определен: 3;16;2;0;Адивит, В-Витакапс, Витаминная смесь Н32147, Гексавит, Гендевит, Гериавит-Фарматон, Метионин, Мульти-табс Интенсив, Мульти-табс Тинейджер, Педивит форте, Пиковит, Пиковит форте, Поливитамины, Ревит, Треонин, Ундевит;—;Витамины, Поливитамины
39_3;Тетрада Фалло;Q21.3;Взрослые, дети;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийская общественная организация ""Ассоциация детских кардиологов России"", Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Национальная курортная ассоциация";08.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/39_3;С5: 1;0;0;1;—;поддерживающая терапия;—
