=== СВОДКА ПО КЛИНИЧЕСКИМ РЕКОМЕНДАЦИЯМ ===

ID;Название;МКБ-10;Возраст;Разработчик;Дата;Статус;Ссылка;Уровни рекомендаций (A1: 5, B2: 3 и т.д.);MedIQ (кол-во);Blacklist (кол-во);Маркеры (кол-во);Препараты MedIQ;Маркеры;Чёрный список
119_2;Послеродовое кровотечение;O67, O72, O72.0, O72.1, O72.2, O72.3;Взрослые, дети;"Российское общество акушеров-гинекологов, Корпоративная некоммерческая организация ""Ассоциация анестезиологов – реаниматологов"", Ассоциация акушерских анестезиологов-реаниматологов , Национальная ассоциация специалистов менеджмента крови пациента";25.02.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/119_2;Нет рекомендаций;0;0;0;—;—;—
141_2;Миелодиспластический синдром. Миелодиспластические/ миелопролиферативные новообразования;C92.2, C93.1, C94.6, D46, D46.0, D46.1, D46.2, D46.4, D46.5, D46.6, D46.7, D46.9;Взрослые;"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";22.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/141_2;Нет рекомендаций;0;0;0;—;—;—
134_2;Хронический лимфоцитарный лейкоз / лимфома из малых лимфоцитов;C91.1;Взрослые;"Ассоциация онкологов России, Российское общество онкогематологов, Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";27.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/134_2;С4: 1, С5: 1, C5: 1;1;0;1;Цикл;поддерживающая терапия;—
144_2;Множественная миелома;C90.0;Взрослые;"Ассоциация онкологов России, Национальное гематологическое общество, Региональная общественная организация ""Общество онкогематологов""";22.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/144_2;A2: 2, A1: 2, С5: 1, В2: 1, A,B2: 1;2;0;1;Sirius, Миндалин;поддерживающая терапия;—
139_2;Лимфома Ходжкина;C81;Взрослые, дети;"Ассоциация онкологов России, Национальное общество детских гематологов, онкологов, Российское профессиональное общество онкогематологов, Некоммерческое партнерство содействия развитию гематологии и трансплантологии костного мозга ""Национальное гематологическое общество""";20.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/139_2;С5: 2, C5: 1;2;0;1;Кожные, Цикл;поддерживающая терапия;—
149_2;Редкие коагулопатии: наследственный дефицит факторов свертывания крови II, VII, X;D68.2;Взрослые, дети;Национальное гематологическое общество, Национальное общество детских гематологов, онкологов;28.04.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/149_2;Нет рекомендаций;0;0;0;—;—;—
116_2;Злокачественные опухоли слюнных желез;C06.9, C07, C08;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока";14.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/116_2;C5: 1;1;0;0;Омега-3;—;—
112_2;Врожденная глаукома;Q15.0;Дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов"", Общероссийская общественная организация «Общество офтальмологов России»";21.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/112_2;C5: 8;4;1;3;Венорутон, Поливитамины, Рутин, Рутозида тригидрат;биорезонансная терапия, рефлексотерапия, цветоимпульсная терапия;Поливитамины
14_3;Цистит у женщин;N30.0, N30.1, N30.2;Взрослые;"Общероссийская общественная организация ""Российское общество урологов""";02.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/14_3;Не определенНе определен: 3;2;1;0;Алфавит, Канефрон Н;—;Канефрон
114_3;Макулярная дегенерация возрастная;H35.3;Взрослые;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";15.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/114_3;Не определенНе определен: 4, А2: 1, С5: 1;1;0;0;Лютеин;—;—
1_3;Рак печени (гепатоцеллюлярный);C22.0;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Междисциплинарное общество специалистов по опухолям печени";22.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/1_3;С5: 1, В3: 1;1;0;1;Омега-3;поддерживающая терапия;—
103_3;Травма глаза закрытая;H21.0, S04.0, S05.0, S05.1, S05.7, S05.8;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";14.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/103_3;Нет рекомендаций;0;0;0;—;—;—
156_2;Хроническая сердечная недостаточность;I50.0, I50.1, I50.9;Взрослые;"Общероссийская общественная организация «Российское кардиологическое общество», Общероссийская общественная организация ""Общество специалистов по сердечной недостаточности"", Автономная некоммерческая организация ""Национальное общество по изучению сердечной недостаточности и заболеваний миокарда"", Общероссийская общественная организация ""Российское научное медицинское общество терапевтов""";07.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/156_2;Нет рекомендаций;0;0;0;—;—;—
159_2;Легочная гипертензия, в том числе хроническая тромбоэмболическая легочная гипертензия;I27.0, I27.2, I27.8;Взрослые;"Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Ассоциация ревматологов России, Российское медицинское общество по артериальной гипертонии, Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Российское респираторное общество, Евразийская ассоциация кардиологов, Российское общество анестезиологов и реаниматологов";03.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/159_2;Не определенНе определен: 4, С5: 1, IIbC2: 1;2;1;1;120/80, Протеаза;поддерживающая терапия;Интерфероны
157_5;Острый инфаркт миокарда с подъемом сегмента ST электрокардиограммы;I21.0, I21.1, I21.2, I21.3, I21.9, I22.0, I22.1, I22.8, I22.9, I24.0, I24.8, I24.9;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Общероссийская общественная организация «Российское общество скорой медицинской помощи»;25.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/157_5;Не определенНе определен: 1, B2: 1;2;0;0;Защита, Каркас;—;—
153_1;Миокардиты;I40, I41, I51.4;Взрослые;"Общероссийская общественная организация «Российское кардиологическое общество», Общероссийская общественная организация ""Общество специалистов по сердечной недостаточности"", Общероссийская общественная организация ""Российское научное медицинское общество терапевтов"", Общероссийская общественная организация ""Российское общество патологоанатомов"", Общероссийская общественная организация содействия развитию лучевой диагностики и терапии ""Российское общество рентгенологов и радиологов"" , Евразийского общества терапевтов";12.11.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/153_1;С5: 1, Не определенНе определен: 1;1;1;0;Ускорение;—;Витамины
136_2;Лимфома из клеток мантии;C83.1, C85.1;Взрослые;"Ассоциация онкологов России, Российское профессиональное общество онкогематологов, Некоммерческое партнерство содействия развитию гематологии и трансплантологии костного мозга ""Национальное гематологическое общество""";05.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/136_2;Не определенНе определен: 2, С5: 1, В2: 1;1;0;1;Миндалин;поддерживающая терапия;—
131_2;Острые миелоидные лейкозы;C92.0, C92.3, C92.5, C92.6, C92.7, C92.8, C92.9, C93.0, C94.0, C94.2, C94.7, C95.0;Взрослые;"Ассоциация содействия развитию гематологии, трансфузиологии и трансплантации костного мозга ""Национальное гематологическое общество""";17.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/131_2;Не определенНе определен: 2, B2: 2, С5: 1;1;0;1;Лизоцим;поддерживающая терапия;—
11_3;Рак мочевого пузыря;C67;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество урологов"", Общероссийская общественная организация ""Российское общество онкоурологов"", Общероссийская общественная организация «Российское общество клинической онкологии»";06.12.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/11_3;A2: 2, А2: 2, С5: 1, С4: 1;4;0;0;Иммуно, Клетчатка, Цикл, Э;—;—
109_2;Миопия;H52.1;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация врачей-офтальмологов""";18.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/109_2;С5: 8, Не определенНе определен: 4, В3: 1;7;1;1;Метилэтилпиридинол, Метилэтилпиридинол-Эском, Метилэтилпиридинола гидрохлорид, Ночной, О К, Поливитамины, Тонус;рефлексотерапия;Поливитамины
161_2;Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ Синдром зависимости от психоактивных веществ (кроме алкоголя и никотина);F11.2, F12.2, F13.2, F14.2, F15.2, F16.2, F18.2, F19.2;Взрослые, дети;"Общественная организация ""Российское общество психиатров""";31.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/161_2;С5: 3, Не определенНе определен: 1;0;1;1;—;поддерживающая терапия;ГАМК
127_2;Гемофилия;D66, D67;Взрослые, дети;Национальное гематологическое общество, Национальное общество детских гематологов, онкологов;04.05.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/127_2;Не определенНе определен: 1;1;0;0;Элоктейт;—;—
160_1;Брадиаритмии и нарушения проводимости;I44, I44.0, I44.1, I44.2, I44.3, I44.4, I44.5, I44.6, I44.7, I45, I45.0, I45.1, I45.2, I45.3, I45.4, I45.5, I45.8, I45.9, I46, I46.0, I46.1, I46.9, I49.5;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Всероссийское научное общество специалистов по клинической электрофизиологии, аритмологии и электростимуляции;10.08.2020;Применяется;https://cr.minzdrav.gov.ru/view-cr/160_1;Нет рекомендаций;0;0;0;—;—;—
154_4;Острый коронарный синдром без подъема сегмента ST электрокардиограммы;I20.0, I21.0, I21.1, I21.2, I21.3, I21.4, I21.9, I22.0, I22.1, I22.8, I22.9, I24.8, I24.9;Взрослые;Ассоциация сердечно-сосудистых хирургов России, Общероссийская общественная организация «Российское кардиологическое общество», Российское научное общество специалистов по рентгенэндоваскулярной диагностике и лечению, Общероссийская общественная организация «Российское общество скорой медицинской помощи»;23.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/154_4;С4: 1, ЕОК IIb В2: 1, C5: 1, C4: 1;2;0;0;Защита, Окс;—;—
130_2;Волосатоклеточный лейкоз;C91.4;Взрослые;Ассоциация онкологов России, Национальное гематологическое общество, Региональная общественная организация «Общество онкогематологов»;26.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/130_2;С4: 13, С5: 6, C5: 4, Не определенНе определен: 3;5;1;0;Вэллферон, Интерферон альфа-2 рекомбинантного мазь на гидрогелевой основе, Интерферон человеческий лейкоцитарный, Интерферон человеческий лейкоцитарный в свечах, Миндалин;—;Интерфероны
166_2;Мононевропатии;G54.0, G54.2, G54.8, G54.9, G56, G56.0, G56.1, G56.2, G56.3, G56.8, G56.9, G57.0, G57.2, G57.3, G57.4, G57.6, G58.8, G58.9, G59.8;Взрослые;"Ассоциация нейрохирургов России, Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", Ассоциация специалистов по клинической нейрофизиологии";18.04.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/166_2;Нет рекомендаций;0;0;0;—;—;—
162_3;Головная боль напряжения (ГБН);G44, G44.2, G44.3, G44.4, G44.8, G90.8;Взрослые;"Всероссийское общество неврологов, Общероссийская общественная организация ""Союз реабилитологов России"", Межрегиональная общественная организация ""Российское общество по изучению головной боли""";28.10.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/162_3;B2: 3, С2: 3, С5: 1, A2: 1, C5: 1, Не определенНе определен: 1;1;1;3;Боси;мануальная терапия, рефлексотерапия, физиотерапия;Метамизол
164_2;Злокачественные новообразования полости рта;C02.0, C02.1, C02.2, C02.3, C02.8, C02.9, C03, C04, C05.0, C06;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество специалистов по опухолям головы и шеи"", Общероссийская общественная организация «Российское общество клинической онкологии», Общероссийская общественная организация «Федерация специалистов по лечению заболеваний головы и шеи», Некоммерческая организация ""Ассоциация онкологических организаций Сибири и Дальнего Востока";16.01.2025;Применяется;https://cr.minzdrav.gov.ru/view-cr/164_2;С5: 1, В1: 1;1;0;1;Омега-3;акупунктура;—
12_3;Рак предстательной железы;C61;Взрослые;"Ассоциация онкологов России, Общероссийская общественная организация ""Российское общество урологов"", Общероссийская общественная организация ""Российское общество онкоурологов"", Общероссийская общественная организация «Российское общество клинической онкологии»";28.01.2021;Применяется;https://cr.minzdrav.gov.ru/view-cr/12_3;Не определенНе определен: 4;2;0;0;Витамин Е, Селен форте с витамином E;—;—
17_2;Гидронефроз;N13.0, N13.1, Q62.0;Взрослые, дети;"Общероссийская общественная организация ""Российское общество урологов""";31.01.2023;Применяется;https://cr.minzdrav.gov.ru/view-cr/17_2;А2: 2, Не определен2: 1, С5: 1;3;0;0;Йод актив, Йод актив форте, Технемаг 99Mtc;—;—
16_3;Туберкулез у взрослых;A15, A16, A17, A18, A19;Взрослые;Российское Общество Фтизиатров, Национальная ассоциация некоммерческих организаций фтизиатров «Ассоциация фтизиатров»;14.05.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/16_3;С5: 19, Не определенНе определен: 12;13;5;0;Витамин B12, Глицин, Глицин актив, Глицин био фармаплант, Глицин микрокапсулированный, Глицин мс, Глицин форте, Глицин форте Фармаплант, Глицин-Био Фармаплант, Глицин-МХФП, Глутоксим, Перхлозон, Фосфолипиды;—;Витамины, Глицин, Глутоксим, Интерфероны, Метамизол
169_2;Мигрень;G43.0, G43.1, G43.2, G43.3, G43.8, G43.9, G44.0, G44.1, G44.4;Дети;Всероссийское общество неврологов, Ассоциация Здоровье детей, Российское межрегиональное общество по изучению боли (РОИБ);15.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/169_2;С5: 2;1;0;0;Боси;—;—
173_2;Полип анального канала;K62.0;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";27.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/173_2;Нет рекомендаций;0;0;0;—;—;—
172_3;Анальная трещина;K60.0, K60.1, K60.2;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";26.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/172_3;С5: 1;0;0;1;—;физиотерапия;—
174_3;Ангиодисплазия кишечника;K55.2, K55.3, K55.8;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";02.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/174_3;Нет рекомендаций;0;0;0;—;—;—
175_2;Болезнь Гиршпрунга;Q43.1;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";11.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/175_2;Нет рекомендаций;0;0;0;—;—;—
170_3;Специфические расстройства развития речи у детей;F80.0, F80.1, F80.2, F80.8;Дети;"Общественная организация ""Российское общество психиатров""";21.11.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/170_3;Не определенНе определен: 4, C4: 1;1;1;0;Ритм;—;Церебролизин
177_5;Выпадение прямой кишки;K62.2, K62.3, K63.3;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";27.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/177_5;С4: 2, Не определенНе определен: 1;1;0;0;Боси;—;—
179_3;Дивертикулярная болезнь;K57.0, K57.1, K57.2, K57.3, K57.4, K57.5, K57.8, K57.9;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российская Гастроэнтерологическая Ассоциация";27.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/179_3;А2: 1;1;0;0;Регин;—;—
178_2;Геморрой;K64;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";30.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/178_2;Не определенНе определен: 2;0;0;1;—;физиотерапия;—
183_3;Недостаточность анального сфинктера;K62.8, R15;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";02.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/183_3;С5: 1;1;0;0;Боси;—;—
182_3;Идиопатический мегаколон;K59.3;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";02.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/182_3;Нет рекомендаций;0;0;0;—;—;—
18_2;Болезнь Меньера;H81.0;Взрослые;Национальная медицинская ассоциация оториноларингологов;18.03.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/18_2;Нет рекомендаций;0;0;0;—;—;—
176_2;Болезнь Крона;K50;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российская Гастроэнтерологическая Ассоциация";16.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/176_2;С5: 3, А1: 2, В3: 1, В1: 1;4;1;1;Боси, В-12, Клетчатка, Цикл;поддерживающая терапия;Витамины
185_3;Острый парапроктит;K61, K61.0, K61.1, K61.2, K61.3, K61.4;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Общероссийская общественная организация ""Российская ассоциация детских хирургов""";02.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/185_3;Нет рекомендаций;0;0;0;—;—;—
188_2;Ректоцеле;N81.6;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";28.08.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/188_2;А2: 1, A1: 1, B2: 1;2;0;0;Боси, Каркас;—;—
196_2;Гнездная алопеция;L63;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";07.08.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/196_2;Нет рекомендаций;0;0;0;—;—;—
191_2;Свищ заднего прохода и прямой кишки;K60.3, K60.4, K60.5;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";27.09.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/191_2;A2: 2;2;0;0;Коллаген, Матрикс;—;—
194_2;Хламидийная инфекция;A56, A74;Взрослые, дети;"Российское общество акушеров-гинекологов, Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов"", Межрегиональная общественная организация ""Национальный альянс дерматовенерологов и косметологов""";09.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/194_2;Нет рекомендаций;0;0;0;—;—;—
192_2;Эпителиальный копчиковый ход;L05.0, L05.9;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";11.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/192_2;Нет рекомендаций;0;0;0;—;—;—
200_2;Эритразма;L08.1;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";11.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/200_2;Не определенНе определен: 1;1;0;0;Кожные;—;—
187_2;Ректовагинальный свищ;N82.3;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России""";11.07.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/187_2;С5: 1;0;0;1;—;физиотерапия;—
204_2;Аногенитальные (венерические) бородавки;A63.0;Взрослые, дети;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российское общество акушеров-гинекологов, Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов"", Межрегиональная общественная организация ""Национальный альянс дерматовенерологов и косметологов""";12.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/204_2;С4: 8, Не определенНе определен: 6;7;3;0;Инозие-Ф, Инозин, Инозин пранобекс, Инозин пранобекс-ВЕРТЕКС, Инозин-Эском, Панавир, Пранобера;—;Инозин, Интерфероны, Панавир
197_2;Сифилис;A50, A51, A52, A53;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";09.07.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/197_2;Нет рекомендаций;0;0;0;—;—;—
193_2;Язвенный колит;K51;Взрослые;"Общероссийская общественная организация ""Ассоциация колопроктологов России"", Российская Гастроэнтерологическая Ассоциация";29.05.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/193_2;С4: 3, Не определенНе определен: 2, A2: 2, А2: 2, В2: 2, А1: 1, A1: 1;1;0;1;Боси;поддерживающая терапия;—
206_2;Бактериальный вагиноз;N89;Взрослые, дети;"Общероссийская общественная организация ""Российское общество дерматовенерологов и косметологов""";04.05.2022;Применяется;https://cr.minzdrav.gov.ru/view-cr/206_2;Нет рекомендаций;0;0;0;—;—;—
21_3;Наружный отит;H60.0, H60.1, H60.2, H60.3, H60.5, H60.8, H60.9, H61.0, H61.8, H61.9, H62.0, H62.1, H62.2, H62.3, H62.4, H62.8;Дети;Союз педиатров России, Национальная медицинская ассоциация оториноларингологов, Межрегиональная ассоциация по клинической микробиологии и антимикробной химиотерапии;18.12.2024;Применяется;https://cr.minzdrav.gov.ru/view-cr/21_3;Не определенНе определен: 2;2;0;0;Фрамицетин, Фрамицетин ФТ;—;—
